,artist,title,data_source,url
0,"John Howard Sanden, Jay O. Light",Jay O. Light,Harvard,https://www.harvardartmuseums.org/collections/object/350505
1,Christopher Wilmarth,Filter (for Trouble),Harvard,https://www.harvardartmuseums.org/collections/object/350546
2,Christopher Wilmarth,Her Sides of Me,Harvard,https://www.harvardartmuseums.org/collections/object/350547
3,Christopher Wilmarth,When Winter on Forgotten Woods Moves Somber...,Harvard,https://www.harvardartmuseums.org/collections/object/350550
4,Shinoda Tōkō 篠田桃紅,Hymn,Harvard,https://www.harvardartmuseums.org/collections/object/351701
5,Arnulf Rainer,Wings or String,Harvard,https://www.harvardartmuseums.org/collections/object/352322
6,Gabriele Münter,Pink Still Life,Harvard,https://www.harvardartmuseums.org/collections/object/352337
7,Ralston Crawford,Air War,Harvard,https://www.harvardartmuseums.org/collections/object/353661
8,Paul Klee,Dried Up Cataract,Harvard,https://www.harvardartmuseums.org/collections/object/353952
9,Stuart Davis,The Tug Boat,Harvard,https://www.harvardartmuseums.org/collections/object/354058
10,"Unidentified Artist, Girolamo Forabosco",The Magdalen,Harvard,https://www.harvardartmuseums.org/collections/object/355850
11,Salomon van Ruysdael,Landscape with Boats and Figures,Harvard,https://www.harvardartmuseums.org/collections/object/356430
12,Philips Wouwerman,Landscape with Wood Gatherers,Harvard,https://www.harvardartmuseums.org/collections/object/356431
13,Werner Heldt,Still Life at the Window,Harvard,https://www.harvardartmuseums.org/collections/object/357587
14,Watanabe Shikō 渡辺始興,Landscape (right screen),Harvard,https://www.harvardartmuseums.org/collections/object/357600
15,Watanabe Shikō 渡辺始興,Landscape (left screen),Harvard,https://www.harvardartmuseums.org/collections/object/357601
16,Emile Gilliéron or son,"Top Section of Priest King or Lily Prince (reproduction after a relief from the Palace of Knossos, Crete)",Harvard,https://www.harvardartmuseums.org/collections/object/358395
17,Julien Hudson,Portrait of a Young Woman in White,Harvard,https://www.harvardartmuseums.org/collections/object/359903
18,Werner Groshans,Still Life with Skull,Harvard,https://www.harvardartmuseums.org/collections/object/361264
19,George Cope,Hanging Woodcock,Harvard,https://www.harvardartmuseums.org/collections/object/362477
20,Suzuki Kiitsu 鈴木其一,Chrysanthemum and Maple (Ninth Month from Fans of the Twelve Months),Harvard,https://www.harvardartmuseums.org/collections/object/364486
21,Suzuki Kiitsu 鈴木其一,Winter Chrysanthemums (Twelfth Month from Fans of the Twelve Months),Harvard,https://www.harvardartmuseums.org/collections/object/364489
