,artist,title,url,gender,division,medium,colors,dated,century,culture,description
0,"John Howard Sanden, Jay O. Light",Jay O. Light,https://www.harvardartmuseums.org/collections/object/350505,"unknown, unknown",Modern and Contemporary Art,Oil on canvas,"Grey, Brown, Grey, Brown, Grey, Grey, Red, Orange, Orange, Violet",2011,21st century,,
1,Christopher Wilmarth,Filter (for Trouble),https://www.harvardartmuseums.org/collections/object/350546,male,Modern and Contemporary Art,Mixed media on masonite with wood supports,"Brown, Brown, Grey, Green, Grey, Grey, Brown, Grey, Yellow, Brown",1963,20th century,American,
2,Christopher Wilmarth,Her Sides of Me,https://www.harvardartmuseums.org/collections/object/350547,male,Modern and Contemporary Art,Mixed media with sculpted figure,"Green, Grey, Grey, Green, Green, Grey, Grey, Green, Green",1963,20th century,American,
3,Christopher Wilmarth,When Winter on Forgotten Woods Moves Somber...,https://www.harvardartmuseums.org/collections/object/350550,male,Modern and Contemporary Art,Oil on wood panel,"Green, Green, Brown, Yellow, Brown, Grey, Orange, Grey, Grey, Grey",1981,20th century,American,
4,Shinoda Tōkō 篠田桃紅,Hymn,https://www.harvardartmuseums.org/collections/object/351701,female,Modern and Contemporary Art,Ink on fabric mounted to wood panel,,2000,21st century,Japanese,
6,Arnulf Rainer,Wings or String,https://www.harvardartmuseums.org/collections/object/352322,male,Modern and Contemporary Art,Oil on gelatin silver print,,1970,20th century,Austrian,
7,Gabriele Münter,Pink Still Life,https://www.harvardartmuseums.org/collections/object/352337,female,Modern and Contemporary Art,Oil on board,"Grey, Brown, Brown, Red, Brown, Green, Blue, Orange, Green, Green",1908-1909,20th century,German,
9,Ralston Crawford,Air War,https://www.harvardartmuseums.org/collections/object/353661,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Brown, Grey, Orange, Grey, Grey, Grey, Orange, Green",1944,20th century,American,
10,Paul Klee,Dried Up Cataract,https://www.harvardartmuseums.org/collections/object/353952,male,Modern and Contemporary Art,Watercolor on primed canvas,"Green, Brown, Green, Yellow, Yellow",1930,20th century,Swiss,
11,Stuart Davis,The Tug Boat,https://www.harvardartmuseums.org/collections/object/354058,male,Modern and Contemporary Art,Oil on panel,"Orange, Brown, Grey, Orange, Green, Grey, Green, Orange, Red, Grey",1922,20th century,American,
12,"Unidentified Artist, Girolamo Forabosco",The Magdalen,https://www.harvardartmuseums.org/collections/object/355850,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Brown, Brown, Yellow, Brown, Green",17th century,17th century,Italian,
14,Salomon van Ruysdael,Landscape with Boats and Figures,https://www.harvardartmuseums.org/collections/object/356430,unknown,European and American Art,Oil on panel,"Grey, Brown, Brown, Yellow, Orange, Brown, Brown, Grey, Brown",c. 1635,17th century,Dutch,
15,Philips Wouwerman,Landscape with Wood Gatherers,https://www.harvardartmuseums.org/collections/object/356431,unknown,European and American Art,Oil on panel,"Brown, Green, Yellow, Green, Green, Yellow, Brown",1647-1648,17th century,Dutch,
16,Werner Heldt,Still Life at the Window,https://www.harvardartmuseums.org/collections/object/357587,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Grey, Green, Green, Grey, Yellow, Red, Red, Green",1950,20th century,German,
17,Watanabe Shikō 渡辺始興,Landscape (right screen),https://www.harvardartmuseums.org/collections/object/357600,unknown,Asian and Mediterranean Art,"Right screen of a pair of six-fold screens; ink, color, and gold leaf on paper.","Yellow, Yellow, Yellow, Yellow, Brown, Brown, Grey, Grey",early to mid-18th century,18th century,Japanese,
18,Watanabe Shikō 渡辺始興,Landscape (left screen),https://www.harvardartmuseums.org/collections/object/357601,unknown,Asian and Mediterranean Art,"Left screen of a pair of six-fold screens; ink, color, and gold leaf on paper.","Yellow, Yellow, Red, Brown, Grey, Grey",early to mid-18th century,18th century,Japanese,
