,objectid,artist,title,url,stolen,painting
0,10723,After                              Corneille de Lyon,The Dauphin François D'Angouleme,https://www.gardnermuseum.org/experience/collection/10723#object-details,False,True
1,10724,Albert Besnard,A Lady with a Rose,https://www.gardnermuseum.org/experience/collection/10724#object-details,False,True
2,10725,François Boucher,The Chariot of Venus,https://www.gardnermuseum.org/experience/collection/10725#object-details,False,True
3,10726,Hercules Brabazon Brabazon,Beaulieu-sur-Mer,https://www.gardnermuseum.org/experience/collection/10726#object-details,False,True
4,10727,Jean-Baptiste-Camille Corot,Noonday,https://www.gardnermuseum.org/experience/collection/10727#object-details,False,True
5,10728,Gustave Courbet,A View Across the River,https://www.gardnermuseum.org/experience/collection/10728#object-details,False,True
6,10729,Edgar Degas,Joséphine Gaujelin,https://www.gardnermuseum.org/experience/collection/10729#object-details,False,True
7,10730,Eugène Delacroix,The Crusader,https://www.gardnermuseum.org/experience/collection/10730#object-details,False,True
8,10731,Narcisse Virgile Diaz de la Peña,On a Terrace,https://www.gardnermuseum.org/experience/collection/10731#object-details,False,True
9,10732,Paul César Helleu,The Interior of the Abbey Church of Saint Denis,https://www.gardnermuseum.org/experience/collection/10732#object-details,False,True
10,10733,Charles Émile Jacque,Sheep in the Shelter of the Oaks,https://www.gardnermuseum.org/experience/collection/10733#object-details,False,True
11,10734,Édouard Manet,Madame Auguste Manet,https://www.gardnermuseum.org/experience/collection/10734#object-details,False,True
13,10736,Henri Matisse,The Terrace,https://www.gardnermuseum.org/experience/collection/10736#object-details,False,True
14,10737,Constant Troyon,A Cottage By A Ford,https://www.gardnermuseum.org/experience/collection/10737#object-details,False,True
15,10738,Félix Ziem,Lowland Pastures,https://www.gardnermuseum.org/experience/collection/10738#object-details,False,True
16,10739,Edgar Degas,A Ballerina (Danseuse à la barre),https://www.gardnermuseum.org/experience/collection/10739#object-details,False,True
18,10745,Studio of                              Jacopo Palma il Giovane,Scene from the History of Joseph,https://www.gardnermuseum.org/experience/collection/10745#object-details,False,True
19,10746,Workshop of                              Perugino,Man in Umbrian Costume (With a Study of a Head to the Left),https://www.gardnermuseum.org/experience/collection/10746#object-details,False,True
20,10747,Alesso di BenozzoAlesso di Benozzo,An Angel Catching the Blood of the Redeemer,https://www.gardnermuseum.org/experience/collection/10747#object-details,False,True
22,10752,Edgar Degas,Racehorse (Cheval),https://www.gardnermuseum.org/experience/collection/10752#object-details,False,True
23,10753,Bacchiacca,A Lady with a Nosegay,https://www.gardnermuseum.org/experience/collection/10753#object-details,False,True
24,10754,Giorgio Vasari,Musicians,https://www.gardnermuseum.org/experience/collection/10754#object-details,False,True
25,10755,Gentile Bellini,Seated Scribe,https://www.gardnermuseum.org/experience/collection/10755#object-details,False,True
26,10756,"Italian, Rome",Saint Filippo Neri,https://www.gardnermuseum.org/experience/collection/10756#object-details,False,True
27,10757,"Italian, Northern Italy",Three Scenes from the Old Testament,https://www.gardnermuseum.org/experience/collection/10757#object-details,False,True
28,10758,Studio of                              Jacopo Palma il Giovane,Scene from the History of Joseph,https://www.gardnermuseum.org/experience/collection/10758#object-details,False,True
29,10759,Studio of                              Jacopo Palma il Giovane,Scene from the History of Joseph,https://www.gardnermuseum.org/experience/collection/10759#object-details,False,True
30,10760,Style of                              Paolo Veronese,Scene from the Metamorphoses of Ovid: The Death of Adonis,https://www.gardnermuseum.org/experience/collection/10760#object-details,False,True
31,10761,Style of                              Paolo Veronese,Scene from the Metamorphoses of Ovid: The Birth of Adonis,https://www.gardnermuseum.org/experience/collection/10761#object-details,False,True
32,10762,Style of                              Paolo Veronese,Scene from the Metamorphoses of Ovid: Pygmalion,https://www.gardnermuseum.org/experience/collection/10762#object-details,False,True
33,10763,Style of                              Paolo Veronese,Scene from the Metamorphoses of Ovid: The Rape of Proserpine,https://www.gardnermuseum.org/experience/collection/10763#object-details,False,True
