,objectid,artist,title,url
0,35646,Archibald Motley,Cocktails,https://collections.mfa.org/objects/35646/cocktails;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=0
1,31782,John Singer Sargent,The Daughters of Edward Darley Boit,https://collections.mfa.org/objects/31782/the-daughters-of-edward-darley-boit;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=1
2,35102,Georgia O'Keeffe,Deer's Skull with Pedernal,https://collections.mfa.org/objects/35102/deers-skull-with-pedernal;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=2
3,509893,Miguel Cabrera,"Don Manuel José Rubio y Salinas, Archbishop of Mexico",https://collections.mfa.org/objects/509893/don-manuel-jose-rubio-y-salinas-archbishop-of-mexico;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=3
4,628735,Frida Kahlo,Dos Mujeres (Salvadora y Herminia),https://collections.mfa.org/objects/628735/dos-mujeres-salvadora-y-herminia;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=4
5,33060,Thomas Cole,Expulsion from the Garden of Eden,https://collections.mfa.org/objects/33060/expulsion-from-the-garden-of-eden;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=5
6,31231,Thomas Sully,The Passage of the Delaware,https://collections.mfa.org/objects/31231/the-passage-of-the-delaware;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=6
7,32401,John Singleton Copley,Paul Revere,https://collections.mfa.org/objects/32401/paul-revere;jsessionid=71287882C9CE5709BDDBBEE259AABB0A?ctx=aacac2ce-9dcb-43b0-b9a9-c9ace7fb9233&idx=7
0,32665,Rembrandt Harmensz. van Rijn,Artist in His Studio,https://collections.mfa.org/objects/32665/artist-in-his-studio;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=0
1,32429,Henri Matisse,Carmelina,https://collections.mfa.org/objects/32429/carmelina;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=1
2,31898,"Unidentified artist, Spanish (Catalan), 12th century",Christ in Majesty with Symbols of the Four Evangelists,https://collections.mfa.org/objects/31898/christ-in-majesty-with-symbols-of-the-four-evangelists;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=2
3,32592,Pierre-Auguste Renoir,Dance at Bougival,https://collections.mfa.org/objects/32592/dance-at-bougival;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=3
4,33615,Rosso Fiorentino (Giovanni Battista di Jacopo),The Dead Christ with Angels,https://collections.mfa.org/objects/33615/the-dead-christ-with-angels;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=4
5,32968,Nicolas Poussin,Discovery of Achilles on Skyros,https://collections.mfa.org/objects/32968/discovery-of-achilles-on-skyros;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=5
6,31124,Diego Rodríguez de Silva y Velázquez,Don Baltasar Carlos with a Dwarf,https://collections.mfa.org/objects/31124/don-baltasar-carlos-with-a-dwarf;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=6
7,32372,Edouard Manet,Execution of the Emperor Maximilian,https://collections.mfa.org/objects/32372/execution-of-the-emperor-maximilian;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=7
8,33507,Thomas Gainsborough,Haymaker and Sleeping Girl,https://collections.mfa.org/objects/33507/haymaker-and-sleeping-girl;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=8
9,33556,Claude Monet,La Japonaise (Camille Monet in Japanese Costume),https://collections.mfa.org/objects/33556/la-japonaise-camille-monet-in-japanese-costume;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=9
10,31141,Carlo Crivelli,Lamentation over the Dead Christ,https://collections.mfa.org/objects/31141/lamentation-over-the-dead-christ;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=10
11,32992,Jacopo Tintoretto (Jacopo Robusti),The Nativity,https://collections.mfa.org/objects/32992/the-nativity;jsessionid=D1580CFDF37D87E2C604CF644DBCBDFE?ctx=a60d4bd4-3e7c-4053-a0f6-9e569d3814bc&idx=11
0,32542,Vincent van Gogh,Postman Joseph Roulin,https://collections.mfa.org/objects/32542/postman-joseph-roulin;jsessionid=164560345D68BBB6A1EE42A9C750E3EC?ctx=5466883b-2554-4482-a16d-1cc7c1a988e5&idx=12
1,33684,Anthony van Dyck,"Princess Mary, Daughter of Charles I",https://collections.mfa.org/objects/33684/princess-mary-daughter-of-charles-i;jsessionid=164560345D68BBB6A1EE42A9C750E3EC?ctx=5466883b-2554-4482-a16d-1cc7c1a988e5&idx=13
2,31035,Rogier van der Weyden,Saint Luke Drawing the Virgin,https://collections.mfa.org/objects/31035/saint-luke-drawing-the-virgin;jsessionid=164560345D68BBB6A1EE42A9C750E3EC?ctx=5466883b-2554-4482-a16d-1cc7c1a988e5&idx=14
3,31102,Joseph Mallord William Turner,"Slave Ship (Slavers Throwing Overboard the Dead and Dying, Typhoon Coming On)",https://collections.mfa.org/objects/31102/slave-ship-slavers-throwing-overboard-the-dead-and-dying-t;jsessionid=164560345D68BBB6A1EE42A9C750E3EC?ctx=5466883b-2554-4482-a16d-1cc7c1a988e5&idx=15
4,31601,Jean-François Millet,The Sower,https://collections.mfa.org/objects/31601/the-sower;jsessionid=164560345D68BBB6A1EE42A9C750E3EC?ctx=5466883b-2554-4482-a16d-1cc7c1a988e5&idx=16
